"Year","Field","Value","Unit"
"1993","hydrocarbon gas liquids consumed by the transportation sector United States","20270","billion btu"
"2010","hydrocarbon gas liquids consumed by the transportation sector Tennessee","86","billion btu"
"1972","hydrocarbon gas liquids consumed by the transportation sector United States","53028","billion btu"
"1964","hydrocarbon gas liquids consumed by the transportation sector Tennessee","276","billion btu"
"1986","hydrocarbon gas liquids consumed by the transportation sector Tennessee","771","billion btu"
"1998","hydrocarbon gas liquids consumed by the transportation sector United States","17667","billion btu"
"1961","hydrocarbon gas liquids consumed by the transportation sector Tennessee","87","billion btu"
"1991","hydrocarbon gas liquids consumed by the transportation sector United States","21159","billion btu"
"1999","hydrocarbon gas liquids consumed by the transportation sector Tennessee","222","billion btu"
"1992","hydrocarbon gas liquids consumed by the transportation sector United States","19437","billion btu"
"1979","hydrocarbon gas liquids consumed by the transportation sector Tennessee","395","billion btu"
"1973","hydrocarbon gas liquids consumed by the transportation sector United States","49491","billion btu"
"1969","hydrocarbon gas liquids consumed by the transportation sector Tennessee","477","billion btu"
"2004","hydrocarbon gas liquids consumed by the transportation sector United States","19129","billion btu"
"2012","hydrocarbon gas liquids consumed by the transportation sector United States","4369","billion btu"
"1991","hydrocarbon gas liquids consumed by the transportation sector Tennessee","519","billion btu"
"1987","hydrocarbon gas liquids consumed by the transportation sector Tennessee","460","billion btu"
"1967","hydrocarbon gas liquids consumed by the transportation sector United States","38779","billion btu"
"1994","hydrocarbon gas liquids consumed by the transportation sector United States","34046","billion btu"
"2011","hydrocarbon gas liquids consumed by the transportation sector Tennessee","96","billion btu"
"2001","hydrocarbon gas liquids consumed by the transportation sector United States","13738","billion btu"
"2004","hydrocarbon gas liquids consumed by the transportation sector Tennessee","623","billion btu"
"1980","hydrocarbon gas liquids consumed by the transportation sector Tennessee","233","billion btu"
"1965","hydrocarbon gas liquids consumed by the transportation sector United States","31661","billion btu"
"1968","hydrocarbon gas liquids consumed by the transportation sector United States","43704","billion btu"
"1997","hydrocarbon gas liquids consumed by the transportation sector United States","14241","billion btu"
"1966","hydrocarbon gas liquids consumed by the transportation sector United States","36068","billion btu"
"1967","hydrocarbon gas liquids consumed by the transportation sector Tennessee","396","billion btu"
"2012","hydrocarbon gas liquids consumed by the transportation sector Tennessee","92","billion btu"
"2006","hydrocarbon gas liquids consumed by the transportation sector United States","27502","billion btu"
"1963","hydrocarbon gas liquids consumed by the transportation sector Tennessee","159","billion btu"
"1977","hydrocarbon gas liquids consumed by the transportation sector Tennessee","505","billion btu"
"1970","hydrocarbon gas liquids consumed by the transportation sector Tennessee","362","billion btu"
"2013","hydrocarbon gas liquids consumed by the transportation sector Tennessee","105","billion btu"
"2000","hydrocarbon gas liquids consumed by the transportation sector Tennessee","289","billion btu"
"1988","hydrocarbon gas liquids consumed by the transportation sector United States","23320","billion btu"
"2009","hydrocarbon gas liquids consumed by the transportation sector Tennessee","505","billion btu"
"2008","hydrocarbon gas liquids consumed by the transportation sector United States","40197","billion btu"
"1978","hydrocarbon gas liquids consumed by the transportation sector Tennessee","637","billion btu"
"2003","hydrocarbon gas liquids consumed by the transportation sector Tennessee","389","billion btu"
"2006","hydrocarbon gas liquids consumed by the transportation sector Tennessee","886","billion btu"
"1975","hydrocarbon gas liquids consumed by the transportation sector Tennessee","461","billion btu"
"1996","hydrocarbon gas liquids consumed by the transportation sector United States","15656","billion btu"
"1975","hydrocarbon gas liquids consumed by the transportation sector United States","43159","billion btu"
"1990","hydrocarbon gas liquids consumed by the transportation sector United States","22915","billion btu"
"1966","hydrocarbon gas liquids consumed by the transportation sector Tennessee","373","billion btu"
"2007","hydrocarbon gas liquids consumed by the transportation sector United States","21973","billion btu"
"1993","hydrocarbon gas liquids consumed by the transportation sector Tennessee","564","billion btu"
"1976","hydrocarbon gas liquids consumed by the transportation sector Tennessee","462","billion btu"
"1990","hydrocarbon gas liquids consumed by the transportation sector Tennessee","484","billion btu"
"2015","hydrocarbon gas liquids consumed by the transportation sector United States","7669","billion btu"
"1961","hydrocarbon gas liquids consumed by the transportation sector United States","20771","billion btu"
"1983","hydrocarbon gas liquids consumed by the transportation sector United States","40494","billion btu"
"1999","hydrocarbon gas liquids consumed by the transportation sector United States","14290","billion btu"
"1971","hydrocarbon gas liquids consumed by the transportation sector Tennessee","430","billion btu"
"1968","hydrocarbon gas liquids consumed by the transportation sector Tennessee","475","billion btu"
"2000","hydrocarbon gas liquids consumed by the transportation sector United States","11899","billion btu"
"1982","hydrocarbon gas liquids consumed by the transportation sector United States","34098","billion btu"
"1998","hydrocarbon gas liquids consumed by the transportation sector Tennessee","11","billion btu"
"1964","hydrocarbon gas liquids consumed by the transportation sector United States","27861","billion btu"
"1994","hydrocarbon gas liquids consumed by the transportation sector Tennessee","922","billion btu"
"2007","hydrocarbon gas liquids consumed by the transportation sector Tennessee","622","billion btu"
"1985","hydrocarbon gas liquids consumed by the transportation sector United States","29560","billion btu"
"1988","hydrocarbon gas liquids consumed by the transportation sector Tennessee","563","billion btu"
"1986","hydrocarbon gas liquids consumed by the transportation sector United States","27321","billion btu"
"1962","hydrocarbon gas liquids consumed by the transportation sector Tennessee","116","billion btu"
"2014","hydrocarbon gas liquids consumed by the transportation sector Tennessee","81","billion btu"
"2008","hydrocarbon gas liquids consumed by the transportation sector Tennessee","954","billion btu"
"1989","hydrocarbon gas liquids consumed by the transportation sector United States","22762","billion btu"
"2002","hydrocarbon gas liquids consumed by the transportation sector Tennessee","439","billion btu"
"1962","hydrocarbon gas liquids consumed by the transportation sector United States","22663","billion btu"
"1983","hydrocarbon gas liquids consumed by the transportation sector Tennessee","700","billion btu"
"2013","jet fuel consumed by the transportation sector Tennessee","66133","billion btu"
"2016","jet fuel consumed by the transportation sector United States","3349876","billion btu"
"2013","jet fuel consumed by the transportation sector United States","2968557","billion btu"
"2016","jet fuel consumed by the transportation sector Tennessee","74208","billion btu"
"1960","jet fuel consumed by the transportation sector Tennessee","3098","billion btu"
"1961","jet fuel consumed by the transportation sector Tennessee","3613","billion btu"
"1962","jet fuel consumed by the transportation sector Tennessee","4343","billion btu"
"1963","jet fuel consumed by the transportation sector Tennessee","4729","billion btu"
"1964","jet fuel consumed by the transportation sector Tennessee","5643","billion btu"
"1965","jet fuel consumed by the transportation sector Tennessee","6526","billion btu"
"1966","jet fuel consumed by the transportation sector Tennessee","8334","billion btu"
"1967","jet fuel consumed by the transportation sector Tennessee","11423","billion btu"
"1968","jet fuel consumed by the transportation sector Tennessee","14396","billion btu"
"1969","jet fuel consumed by the transportation sector Tennessee","17574","billion btu"
"1970","jet fuel consumed by the transportation sector Tennessee","18791","billion btu"
"1971","jet fuel consumed by the transportation sector Tennessee","18788","billion btu"
"1972","jet fuel consumed by the transportation sector Tennessee","19385","billion btu"
"1973","jet fuel consumed by the transportation sector Tennessee","21416","billion btu"
"1974","jet fuel consumed by the transportation sector Tennessee","21650","billion btu"
"1975","jet fuel consumed by the transportation sector Tennessee","22214","billion btu"
"1976","jet fuel consumed by the transportation sector Tennessee","23178","billion btu"
"1977","jet fuel consumed by the transportation sector Tennessee","24718","billion btu"
"1978","jet fuel consumed by the transportation sector Tennessee","26447","billion btu"
"1979","jet fuel consumed by the transportation sector Tennessee","27652","billion btu"
"1980","jet fuel consumed by the transportation sector Tennessee","23435","billion btu"
"1981","jet fuel consumed by the transportation sector Tennessee","19661","billion btu"
"1982","jet fuel consumed by the transportation sector Tennessee","12871","billion btu"
"1983","jet fuel consumed by the transportation sector Tennessee","11574","billion btu"
"1984","jet fuel consumed by the transportation sector Tennessee","20509","billion btu"
"1985","jet fuel consumed by the transportation sector Tennessee","27461","billion btu"
"1986","jet fuel consumed by the transportation sector Tennessee","33492","billion btu"
"1987","jet fuel consumed by the transportation sector Tennessee","32142","billion btu"
"1988","jet fuel consumed by the transportation sector Tennessee","23886","billion btu"
"1989","jet fuel consumed by the transportation sector Tennessee","24599","billion btu"
"1990","jet fuel consumed by the transportation sector Tennessee","23613","billion btu"
"1991","jet fuel consumed by the transportation sector Tennessee","19266","billion btu"
"1992","jet fuel consumed by the transportation sector Tennessee","25313","billion btu"
"1993","jet fuel consumed by the transportation sector Tennessee","37166","billion btu"
"1994","jet fuel consumed by the transportation sector Tennessee","43961","billion btu"
"1995","jet fuel consumed by the transportation sector Tennessee","45882","billion btu"
"1996","jet fuel consumed by the transportation sector Tennessee","52820","billion btu"
"1997","jet fuel consumed by the transportation sector Tennessee","53506","billion btu"
"1998","jet fuel consumed by the transportation sector Tennessee","55928","billion btu"
"1999","jet fuel consumed by the transportation sector Tennessee","66998","billion btu"
"2000","jet fuel consumed by the transportation sector Tennessee","72898","billion btu"
"2001","jet fuel consumed by the transportation sector Tennessee","71223","billion btu"
"2002","jet fuel consumed by the transportation sector Tennessee","76218","billion btu"
"2003","jet fuel consumed by the transportation sector Tennessee","75840","billion btu"
"2004","jet fuel consumed by the transportation sector Tennessee","77241","billion btu"
"2005","jet fuel consumed by the transportation sector Tennessee","78901","billion btu"
"2006","jet fuel consumed by the transportation sector Tennessee","80553","billion btu"
"2007","jet fuel consumed by the transportation sector Tennessee","78310","billion btu"
"2008","jet fuel consumed by the transportation sector Tennessee","71836","billion btu"
"2009","jet fuel consumed by the transportation sector Tennessee","63384","billion btu"
"2010","jet fuel consumed by the transportation sector Tennessee","70675","billion btu"
"2018","jet fuel consumed by the transportation sector Tennessee","77609","billion btu"
"2018","jet fuel consumed by the transportation sector United States","3532756","billion btu"
"1960","jet fuel consumed by the transportation sector United States","738522","billion btu"
"1961","jet fuel consumed by the transportation sector United States","826805","billion btu"
"1962","jet fuel consumed by the transportation sector United States","976887","billion btu"
"1963","jet fuel consumed by the transportation sector United States","1043682","billion btu"
"1964","jet fuel consumed by the transportation sector United States","1120761","billion btu"
"1965","jet fuel consumed by the transportation sector United States","1214502","billion btu"
"1966","jet fuel consumed by the transportation sector United States","1353654","billion btu"
"1967","jet fuel consumed by the transportation sector United States","1670229","billion btu"
"1968","jet fuel consumed by the transportation sector United States","1941094","billion btu"
"1969","jet fuel consumed by the transportation sector United States","2016832","billion btu"
"1970","jet fuel consumed by the transportation sector United States","1972743","billion btu"
"1971","jet fuel consumed by the transportation sector United States","2060819","billion btu"
"1972","jet fuel consumed by the transportation sector United States","2090827","billion btu"
"1973","jet fuel consumed by the transportation sector United States","2131222","billion btu"
"1974","jet fuel consumed by the transportation sector United States","2001059","billion btu"
"1975","jet fuel consumed by the transportation sector United States","2029075","billion btu"
"1976","jet fuel consumed by the transportation sector United States","2001988","billion btu"
"1977","jet fuel consumed by the transportation sector United States","2090427","billion btu"
"1978","jet fuel consumed by the transportation sector United States","2138257","billion btu"
"1979","jet fuel consumed by the transportation sector United States","2185647","billion btu"
"1980","jet fuel consumed by the transportation sector United States","2179372","billion btu"
"1981","jet fuel consumed by the transportation sector United States","2058169","billion btu"
"1982","jet fuel consumed by the transportation sector United States","2069044","billion btu"
"1983","jet fuel consumed by the transportation sector United States","2140915","billion btu"
"1984","jet fuel consumed by the transportation sector United States","2413720","billion btu"
"1985","jet fuel consumed by the transportation sector United States","2496888","billion btu"
"1986","jet fuel consumed by the transportation sector United States","2682354","billion btu"
"1987","jet fuel consumed by the transportation sector United States","2842819","billion btu"
"1988","jet fuel consumed by the transportation sector United States","2981766","billion btu"
"1989","jet fuel consumed by the transportation sector United States","3058904","billion btu"
"1990","jet fuel consumed by the transportation sector United States","3129491","billion btu"
"1991","jet fuel consumed by the transportation sector United States","3025005","billion btu"
"1992","jet fuel consumed by the transportation sector United States","3001330","billion btu"
"1993","jet fuel consumed by the transportation sector United States","3028007","billion btu"
"1994","jet fuel consumed by the transportation sector United States","3154499","billion btu"
"1995","jet fuel consumed by the transportation sector United States","3132195","billion btu"
"1996","jet fuel consumed by the transportation sector United States","3274239","billion btu"
"1997","jet fuel consumed by the transportation sector United States","3308167","billion btu"
"1998","jet fuel consumed by the transportation sector United States","3356783","billion btu"
"1999","jet fuel consumed by the transportation sector United States","3461781","billion btu"
"2000","jet fuel consumed by the transportation sector United States","3580350","billion btu"
"2001","jet fuel consumed by the transportation sector United States","3425975","billion btu"
"2002","jet fuel consumed by the transportation sector United States","3340318","billion btu"
"2003","jet fuel consumed by the transportation sector United States","3265457","billion btu"
"2004","jet fuel consumed by the transportation sector United States","3382535","billion btu"
"2005","jet fuel consumed by the transportation sector United States","3474752","billion btu"
"2006","jet fuel consumed by the transportation sector United States","3379382","billion btu"
"2007","jet fuel consumed by the transportation sector United States","3357610","billion btu"
"2008","jet fuel consumed by the transportation sector United States","3192839","billion btu"
"2009","jet fuel consumed by the transportation sector United States","2883274","billion btu"
"2010","jet fuel consumed by the transportation sector United States","2962870","billion btu"
"2017","jet fuel consumed by the transportation sector Tennessee","77510","billion btu"
"2017","jet fuel consumed by the transportation sector United States","3481346","billion btu"
"2014","jet fuel consumed by the transportation sector Tennessee","66762","billion btu"
"2014","jet fuel consumed by the transportation sector United States","3042091","billion btu"
"2015","jet fuel consumed by the transportation sector United States","3204168","billion btu"
"2015","jet fuel consumed by the transportation sector Tennessee","70113","billion btu"
"2012","jet fuel consumed by the transportation sector Tennessee","63926","billion btu"
"2012","jet fuel consumed by the transportation sector United States","2901435","billion btu"
"2011","jet fuel consumed by the transportation sector United States","2949818","billion btu"
"2011","jet fuel consumed by the transportation sector Tennessee","68029","billion btu"
"2019","jet fuel consumed by the transportation sector United States","3608019","billion btu"
"2019","jet fuel consumed by the transportation sector Tennessee","82659","billion btu"
"2020","jet fuel consumed by the transportation sector United States","2233844","billion btu"
"2020","jet fuel consumed by the transportation sector Tennessee","77723","billion btu"
"2013","lubricants consumed by the transportation sector Tennessee","3299","billion btu"
"2013","lubricants consumed by the transportation sector United States","143360","billion btu"
"2018","lubricants consumed by the transportation sector United States","136987","billion btu"
"2018","lubricants consumed by the transportation sector Tennessee","3255","billion btu"
"2014","lubricants consumed by the transportation sector Tennessee","3471","billion btu"
"1960","lubricants consumed by the transportation sector Tennessee","3062","billion btu"
"1961","lubricants consumed by the transportation sector Tennessee","2980","billion btu"
"1962","lubricants consumed by the transportation sector Tennessee","2783","billion btu"
"1975","lubricants consumed by the transportation sector Tennessee","4892","billion btu"
"1976","lubricants consumed by the transportation sector Tennessee","5434","billion btu"
"1977","lubricants consumed by the transportation sector Tennessee","4097","billion btu"
"1978","lubricants consumed by the transportation sector Tennessee","4399","billion btu"
"1979","lubricants consumed by the transportation sector Tennessee","4604","billion btu"
"1980","lubricants consumed by the transportation sector Tennessee","4099","billion btu"
"1981","lubricants consumed by the transportation sector Tennessee","3931","billion btu"
"1982","lubricants consumed by the transportation sector Tennessee","3585","billion btu"
"1983","lubricants consumed by the transportation sector Tennessee","3754","billion btu"
"1984","lubricants consumed by the transportation sector Tennessee","4003","billion btu"
"1985","lubricants consumed by the transportation sector Tennessee","3730","billion btu"
"1986","lubricants consumed by the transportation sector Tennessee","3647","billion btu"
"1987","lubricants consumed by the transportation sector Tennessee","4124","billion btu"
"1988","lubricants consumed by the transportation sector Tennessee","3977","billion btu"
"1989","lubricants consumed by the transportation sector Tennessee","4079","billion btu"
"1990","lubricants consumed by the transportation sector Tennessee","4197","billion btu"
"1991","lubricants consumed by the transportation sector Tennessee","3755","billion btu"
"1992","lubricants consumed by the transportation sector Tennessee","3828","billion btu"
"1993","lubricants consumed by the transportation sector Tennessee","3898","billion btu"
"1994","lubricants consumed by the transportation sector Tennessee","4074","billion btu"
"1995","lubricants consumed by the transportation sector Tennessee","4004","billion btu"
"1996","lubricants consumed by the transportation sector Tennessee","3886","billion btu"
"1997","lubricants consumed by the transportation sector Tennessee","4105","billion btu"
"1998","lubricants consumed by the transportation sector Tennessee","4298","billion btu"
"1999","lubricants consumed by the transportation sector Tennessee","4343","billion btu"
"2000","lubricants consumed by the transportation sector Tennessee","4278","billion btu"
"2001","lubricants consumed by the transportation sector Tennessee","3919","billion btu"
"2002","lubricants consumed by the transportation sector Tennessee","3873","billion btu"
"2003","lubricants consumed by the transportation sector Tennessee","3580","billion btu"
"2004","lubricants consumed by the transportation sector Tennessee","3627","billion btu"
"2005","lubricants consumed by the transportation sector Tennessee","3608","billion btu"
"2006","lubricants consumed by the transportation sector Tennessee","3516","billion btu"
"2007","lubricants consumed by the transportation sector Tennessee","3631","billion btu"
"2008","lubricants consumed by the transportation sector Tennessee","3370","billion btu"
"2009","lubricants consumed by the transportation sector Tennessee","3030","billion btu"
"2010","lubricants consumed by the transportation sector Tennessee","3611","billion btu"
"1963","lubricants consumed by the transportation sector Tennessee","2782","billion btu"
"1964","lubricants consumed by the transportation sector Tennessee","2921","billion btu"
"1965","lubricants consumed by the transportation sector Tennessee","2904","billion btu"
"1966","lubricants consumed by the transportation sector Tennessee","3017","billion btu"
"1967","lubricants consumed by the transportation sector Tennessee","2515","billion btu"
"1968","lubricants consumed by the transportation sector Tennessee","2763","billion btu"
"1969","lubricants consumed by the transportation sector Tennessee","2922","billion btu"
"1970","lubricants consumed by the transportation sector Tennessee","2977","billion btu"
"1971","lubricants consumed by the transportation sector Tennessee","2925","billion btu"
"1972","lubricants consumed by the transportation sector Tennessee","3132","billion btu"
"1973","lubricants consumed by the transportation sector Tennessee","3378","billion btu"
"1974","lubricants consumed by the transportation sector Tennessee","3235","billion btu"
"1961","lubricants consumed by the transportation sector United States","147797","billion btu"
"1962","lubricants consumed by the transportation sector United States","145503","billion btu"
"1963","lubricants consumed by the transportation sector United States","145456","billion btu"
"1964","lubricants consumed by the transportation sector United States","152752","billion btu"
"1965","lubricants consumed by the transportation sector United States","148517","billion btu"
"1966","lubricants consumed by the transportation sector United States","154282","billion btu"
"1967","lubricants consumed by the transportation sector United States","135458","billion btu"
"1968","lubricants consumed by the transportation sector United States","148794","billion btu"
"1969","lubricants consumed by the transportation sector United States","143964","billion btu"
"1970","lubricants consumed by the transportation sector United States","146652","billion btu"
"1971","lubricants consumed by the transportation sector United States","147215","billion btu"
"1972","lubricants consumed by the transportation sector United States","157638","billion btu"
"1973","lubricants consumed by the transportation sector United States","163388","billion btu"
"1974","lubricants consumed by the transportation sector United States","156482","billion btu"
"1975","lubricants consumed by the transportation sector United States","154777","billion btu"
"1976","lubricants consumed by the transportation sector United States","171939","billion btu"
"1977","lubricants consumed by the transportation sector United States","171778","billion btu"
"1978","lubricants consumed by the transportation sector United States","184472","billion btu"
"1979","lubricants consumed by the transportation sector United States","193030","billion btu"
"1980","lubricants consumed by the transportation sector United States","171890","billion btu"
"1981","lubricants consumed by the transportation sector United States","164849","billion btu"
"1982","lubricants consumed by the transportation sector United States","150328","billion btu"
"1983","lubricants consumed by the transportation sector United States","157390","billion btu"
"1984","lubricants consumed by the transportation sector United States","167836","billion btu"
"1985","lubricants consumed by the transportation sector United States","156417","billion btu"
"1986","lubricants consumed by the transportation sector United States","152941","billion btu"
"1987","lubricants consumed by the transportation sector United States","172909","billion btu"
"1988","lubricants consumed by the transportation sector United States","166743","billion btu"
"1989","lubricants consumed by the transportation sector United States","171026","billion btu"
"1990","lubricants consumed by the transportation sector United States","175999","billion btu"
"1991","lubricants consumed by the transportation sector United States","157451","billion btu"
"1992","lubricants consumed by the transportation sector United States","160527","billion btu"
"1993","lubricants consumed by the transportation sector United States","163458","billion btu"
"1994","lubricants consumed by the transportation sector United States","170847","billion btu"
"1995","lubricants consumed by the transportation sector United States","167913","billion btu"
"1996","lubricants consumed by the transportation sector United States","162957","billion btu"
"1997","lubricants consumed by the transportation sector United States","172146","billion btu"
"1998","lubricants consumed by the transportation sector United States","180212","billion btu"
"1999","lubricants consumed by the transportation sector United States","182097","billion btu"
"2000","lubricants consumed by the transportation sector United States","179366","billion btu"
"2001","lubricants consumed by the transportation sector United States","164339","billion btu"
"2002","lubricants consumed by the transportation sector United States","162395","billion btu"
"2003","lubricants consumed by the transportation sector United States","150134","billion btu"
"2004","lubricants consumed by the transportation sector United States","152099","billion btu"
"2005","lubricants consumed by the transportation sector United States","151306","billion btu"
"2006","lubricants consumed by the transportation sector United States","147415","billion btu"
"2007","lubricants consumed by the transportation sector United States","152231","billion btu"
"2008","lubricants consumed by the transportation sector United States","141328","billion btu"
"2009","lubricants consumed by the transportation sector United States","127064","billion btu"
"2010","lubricants consumed by the transportation sector United States","154773","billion btu"
"1960","lubricants consumed by the transportation sector United States","151860","billion btu"
"2014","lubricants consumed by the transportation sector United States","149359","billion btu"
"2015","lubricants consumed by the transportation sector Tennessee","3808","billion btu"
"2017","lubricants consumed by the transportation sector United States","141983","billion btu"
"2017","lubricants consumed by the transportation sector Tennessee","3361","billion btu"
"2015","lubricants consumed by the transportation sector United States","162813","billion btu"
"2011","lubricants consumed by the transportation sector Tennessee","3495","billion btu"
"2011","lubricants consumed by the transportation sector United States","148373","billion btu"
"2012","lubricants consumed by the transportation sector Tennessee","3147","billion btu"
"2012","lubricants consumed by the transportation sector United States","135409","billion btu"
"2016","lubricants consumed by the transportation sector United States","154352","billion btu"
"2016","lubricants consumed by the transportation sector Tennessee","3609","billion btu"
"2019","lubricants consumed by the transportation sector United States","131328","billion btu"
"2019","lubricants consumed by the transportation sector Tennessee","3142","billion btu"
"2020","lubricants consumed by the transportation sector United States","115615","billion btu"
"2020","lubricants consumed by the transportation sector Tennessee","2816","billion btu"
"2017","motor gasoline consumed by the transportation sector United States","16576273","billion btu"
"2017","motor gasoline consumed by the transportation sector Tennessee","401736","billion btu"
"2013","motor gasoline consumed by the transportation sector Tennessee","377312","billion btu"
"2013","motor gasoline consumed by the transportation sector United States","16029662","billion btu"
"2014","motor gasoline consumed by the transportation sector Tennessee","382633","billion btu"
"2018","motor gasoline consumed by the transportation sector United States","16573443","billion btu"
"2018","motor gasoline consumed by the transportation sector Tennessee","393936","billion btu"
"2014","motor gasoline consumed by the transportation sector United States","16208815","billion btu"
"1982","motor gasoline consumed by the transportation sector United States","12312213","billion btu"
"1983","motor gasoline consumed by the transportation sector United States","12482323","billion btu"
"1984","motor gasoline consumed by the transportation sector United States","12599997","billion btu"
"1985","motor gasoline consumed by the transportation sector United States","12783585","billion btu"
"1986","motor gasoline consumed by the transportation sector United States","13174194","billion btu"
"1987","motor gasoline consumed by the transportation sector United States","13499433","billion btu"
"1988","motor gasoline consumed by the transportation sector United States","13801767","billion btu"
"1989","motor gasoline consumed by the transportation sector United States","13749322","billion btu"
"1990","motor gasoline consumed by the transportation sector United States","13575410","billion btu"
"1991","motor gasoline consumed by the transportation sector United States","13502563","billion btu"
"1992","motor gasoline consumed by the transportation sector United States","13698699","billion btu"
"1993","motor gasoline consumed by the transportation sector United States","14028748","billion btu"
"1960","motor gasoline consumed by the transportation sector United States","7182528","billion btu"
"1961","motor gasoline consumed by the transportation sector United States","7317983","billion btu"
"1962","motor gasoline consumed by the transportation sector United States","7608940","billion btu"
"1963","motor gasoline consumed by the transportation sector United States","7883509","billion btu"
"1964","motor gasoline consumed by the transportation sector United States","8049561","billion btu"
"1965","motor gasoline consumed by the transportation sector United States","8386381","billion btu"
"1966","motor gasoline consumed by the transportation sector United States","8818795","billion btu"
"1967","motor gasoline consumed by the transportation sector United States","9120231","billion btu"
"1968","motor gasoline consumed by the transportation sector United States","9726143","billion btu"
"1969","motor gasoline consumed by the transportation sector United States","10216412","billion btu"
"1970","motor gasoline consumed by the transportation sector United States","10716486","billion btu"
"1971","motor gasoline consumed by the transportation sector United States","11173181","billion btu"
"1972","motor gasoline consumed by the transportation sector United States","11918310","billion btu"
"1973","motor gasoline consumed by the transportation sector United States","12455040","billion btu"
"1974","motor gasoline consumed by the transportation sector United States","12216510","billion btu"
"1975","motor gasoline consumed by the transportation sector United States","12485280","billion btu"
"1976","motor gasoline consumed by the transportation sector United States","13107282","billion btu"
"1977","motor gasoline consumed by the transportation sector United States","13463508","billion btu"
"1978","motor gasoline consumed by the transportation sector United States","13926650","billion btu"
"1979","motor gasoline consumed by the transportation sector United States","13221447","billion btu"
"1980","motor gasoline consumed by the transportation sector United States","12382694","billion btu"
"1981","motor gasoline consumed by the transportation sector United States","12379135","billion btu"
"1960","motor gasoline consumed by the transportation sector Tennessee","139035","billion btu"
"1961","motor gasoline consumed by the transportation sector Tennessee","143835","billion btu"
"1962","motor gasoline consumed by the transportation sector Tennessee","150848","billion btu"
"1963","motor gasoline consumed by the transportation sector Tennessee","154728","billion btu"
"1964","motor gasoline consumed by the transportation sector Tennessee","160054","billion btu"
"1965","motor gasoline consumed by the transportation sector Tennessee","166630","billion btu"
"1966","motor gasoline consumed by the transportation sector Tennessee","178991","billion btu"
"1967","motor gasoline consumed by the transportation sector Tennessee","188500","billion btu"
"1968","motor gasoline consumed by the transportation sector Tennessee","198015","billion btu"
"1969","motor gasoline consumed by the transportation sector Tennessee","209572","billion btu"
"1970","motor gasoline consumed by the transportation sector Tennessee","216641","billion btu"
"1971","motor gasoline consumed by the transportation sector Tennessee","230746","billion btu"
"1972","motor gasoline consumed by the transportation sector Tennessee","250897","billion btu"
"1973","motor gasoline consumed by the transportation sector Tennessee","272496","billion btu"
"1974","motor gasoline consumed by the transportation sector Tennessee","268221","billion btu"
"1975","motor gasoline consumed by the transportation sector Tennessee","279453","billion btu"
"1976","motor gasoline consumed by the transportation sector Tennessee","292802","billion btu"
"1977","motor gasoline consumed by the transportation sector Tennessee","300122","billion btu"
"1978","motor gasoline consumed by the transportation sector Tennessee","312681","billion btu"
"1979","motor gasoline consumed by the transportation sector Tennessee","297660","billion btu"
"1980","motor gasoline consumed by the transportation sector Tennessee","286004","billion btu"
"1981","motor gasoline consumed by the transportation sector Tennessee","284061","billion btu"
"1982","motor gasoline consumed by the transportation sector Tennessee","283693","billion btu"
"1994","motor gasoline consumed by the transportation sector United States","14249246","billion btu"
"1995","motor gasoline consumed by the transportation sector United States","14576449","billion btu"
"1996","motor gasoline consumed by the transportation sector United States","14822887","billion btu"
"1997","motor gasoline consumed by the transportation sector United States","14976413","billion btu"
"1998","motor gasoline consumed by the transportation sector United States","15436018","billion btu"
"1999","motor gasoline consumed by the transportation sector United States","15828026","billion btu"
"2000","motor gasoline consumed by the transportation sector United States","15932694","billion btu"
"2001","motor gasoline consumed by the transportation sector United States","16013092","billion btu"
"2002","motor gasoline consumed by the transportation sector United States","16436495","billion btu"
"2003","motor gasoline consumed by the transportation sector United States","16565426","billion btu"
"2004","motor gasoline consumed by the transportation sector United States","16900603","billion btu"
"2005","motor gasoline consumed by the transportation sector United States","16957630","billion btu"
"2006","motor gasoline consumed by the transportation sector United States","17088254","billion btu"
"2007","motor gasoline consumed by the transportation sector United States","17065743","billion btu"
"2008","motor gasoline consumed by the transportation sector United States","16509630","billion btu"
"2009","motor gasoline consumed by the transportation sector United States","16424742","billion btu"
"1983","motor gasoline consumed by the transportation sector Tennessee","280038","billion btu"
"1984","motor gasoline consumed by the transportation sector Tennessee","295995","billion btu"
"1985","motor gasoline consumed by the transportation sector Tennessee","299780","billion btu"
"1986","motor gasoline consumed by the transportation sector Tennessee","311590","billion btu"
"1987","motor gasoline consumed by the transportation sector Tennessee","296826","billion btu"
"1988","motor gasoline consumed by the transportation sector Tennessee","305852","billion btu"
"1989","motor gasoline consumed by the transportation sector Tennessee","309596","billion btu"
"1990","motor gasoline consumed by the transportation sector Tennessee","299180","billion btu"
"1991","motor gasoline consumed by the transportation sector Tennessee","289898","billion btu"
"1992","motor gasoline consumed by the transportation sector Tennessee","302926","billion btu"
"1993","motor gasoline consumed by the transportation sector Tennessee","314512","billion btu"
"1994","motor gasoline consumed by the transportation sector Tennessee","323593","billion btu"
"1995","motor gasoline consumed by the transportation sector Tennessee","332570","billion btu"
"1996","motor gasoline consumed by the transportation sector Tennessee","333129","billion btu"
"1997","motor gasoline consumed by the transportation sector Tennessee","339170","billion btu"
"1998","motor gasoline consumed by the transportation sector Tennessee","347781","billion btu"
